_link,_link_main,standard,power_type,max_electric_power
0.connectors.0,0,CHADEMO,DC,150
0.connectors.1,0,CHADEMO,DC,150
0.connectors.2,0,CHADEMO,DC,150
1.connectors.0,1,CHADEMO,DC,150
1.connectors.1,1,CHADEMO,DC,150
1.connectors.2,1,CHADEMO,DC,150
2.connectors.0,2,CHADEMO,DC,160
3.connectors.0,3,CHADEMO,DC,160
4.connectors.0,4,IEC_62196_T2_COMBO,DC,50000
5.connectors.0,5,CHADEMO,DC,50000
6.connectors.0,6,IEC_62196_T2,AC_3_PHASE,22000
7.connectors.0,7,IEC_62196_T2_COMBO,DC,50000
8.connectors.0,8,CHADEMO,DC,50000
9.connectors.0,9,IEC_62196_T2,AC_3_PHASE,22000
10.connectors.0,10,IEC_62196_T2_COMBO,DC,50000
11.connectors.0,11,CHADEMO,DC,50000
12.connectors.0,12,IEC_62196_T2,AC_3_PHASE,22000
13.connectors.0,13,IEC_62196_T2_COMBO,DC,50000
14.connectors.0,14,CHADEMO,DC,50000
15.connectors.0,15,IEC_62196_T2,AC_3_PHASE,22000
16.connectors.0,16,IEC_62196_T2_COMBO,DC,50000
17.connectors.0,17,CHADEMO,DC,50000
18.connectors.0,18,IEC_62196_T2,AC_3_PHASE,22000
19.connectors.0,19,IEC_62196_T2_COMBO,DC,50000
20.connectors.0,20,CHADEMO,DC,50000
21.connectors.0,21,IEC_62196_T2,AC_3_PHASE,22000
22.connectors.0,22,IEC_62196_T2_COMBO,DC,50000
23.connectors.0,23,CHADEMO,DC,50000
24.connectors.0,24,IEC_62196_T2,AC_3_PHASE,22000
25.connectors.0,25,IEC_62196_T2_COMBO,DC,50000
26.connectors.0,26,CHADEMO,DC,50000
27.connectors.0,27,IEC_62196_T2,AC_3_PHASE,22000
28.connectors.0,28,IEC_62196_T2_COMBO,DC,50000
29.connectors.0,29,CHADEMO,DC,50000
30.connectors.0,30,IEC_62196_T2,AC_3_PHASE,22000
31.connectors.0,31,IEC_62196_T2_COMBO,DC,50000
32.connectors.0,32,CHADEMO,DC,50000
33.connectors.0,33,IEC_62196_T2,AC_3_PHASE,22000
34.connectors.0,34,IEC_62196_T2_COMBO,DC,50000
35.connectors.0,35,CHADEMO,DC,50000
36.connectors.0,36,IEC_62196_T2,AC_3_PHASE,22000
37.connectors.0,37,IEC_62196_T2_COMBO,DC,50000
38.connectors.0,38,CHADEMO,DC,50000
39.connectors.0,39,IEC_62196_T2,AC_3_PHASE,22000
40.connectors.0,40,IEC_62196_T2_COMBO,DC,50000
41.connectors.0,41,CHADEMO,DC,50000
42.connectors.0,42,IEC_62196_T2,AC_3_PHASE,22000
43.connectors.0,43,IEC_62196_T2_COMBO,DC,50000
44.connectors.0,44,CHADEMO,DC,50000
45.connectors.0,45,IEC_62196_T2,AC_3_PHASE,22000
46.connectors.0,46,IEC_62196_T2_COMBO,DC,50000
47.connectors.0,47,CHADEMO,DC,50000
48.connectors.0,48,IEC_62196_T2,AC_3_PHASE,22000
49.connectors.0,49,IEC_62196_T2_COMBO,DC,50000
50.connectors.0,50,CHADEMO,DC,50000
51.connectors.0,51,IEC_62196_T2,AC_3_PHASE,22000
52.connectors.0,52,IEC_62196_T2_COMBO,DC,50000
53.connectors.0,53,CHADEMO,DC,50000
54.connectors.0,54,IEC_62196_T2,AC_3_PHASE,22000
55.connectors.0,55,IEC_62196_T2_COMBO,DC,50000
56.connectors.0,56,CHADEMO,DC,50000
57.connectors.0,57,IEC_62196_T2,AC_3_PHASE,22000
58.connectors.0,58,IEC_62196_T2_COMBO,DC,50000
59.connectors.0,59,CHADEMO,DC,50000
60.connectors.0,60,IEC_62196_T2,AC_3_PHASE,22000
61.connectors.0,61,IEC_62196_T2_COMBO,DC,50000
62.connectors.0,62,CHADEMO,DC,50000
63.connectors.0,63,IEC_62196_T2,AC_3_PHASE,22000
64.connectors.0,64,IEC_62196_T2_COMBO,DC,50000
65.connectors.0,65,CHADEMO,DC,50000
66.connectors.0,66,IEC_62196_T2,AC_3_PHASE,22000
67.connectors.0,67,IEC_62196_T2_COMBO,DC,50000
68.connectors.0,68,CHADEMO,DC,50000
69.connectors.0,69,IEC_62196_T2,AC_3_PHASE,22000
70.connectors.0,70,IEC_62196_T2_COMBO,DC,50000
71.connectors.0,71,CHADEMO,DC,50000
72.connectors.0,72,IEC_62196_T2,AC_3_PHASE,22000
73.connectors.0,73,IEC_62196_T2_COMBO,DC,50000
74.connectors.0,74,CHADEMO,DC,50000
75.connectors.0,75,IEC_62196_T2,AC_3_PHASE,22000
76.connectors.0,76,IEC_62196_T2_COMBO,DC,50000
77.connectors.0,77,CHADEMO,DC,50000
78.connectors.0,78,IEC_62196_T2,AC_3_PHASE,22000
79.connectors.0,79,IEC_62196_T2_COMBO,DC,50000
80.connectors.0,80,CHADEMO,DC,50000
81.connectors.0,81,IEC_62196_T2,AC_3_PHASE,22000
82.connectors.0,82,IEC_62196_T2_COMBO,DC,50000
83.connectors.0,83,CHADEMO,DC,50000
84.connectors.0,84,IEC_62196_T2,AC_3_PHASE,22000
85.connectors.0,85,IEC_62196_T2_COMBO,DC,50000
86.connectors.0,86,CHADEMO,DC,50000
87.connectors.0,87,IEC_62196_T2,AC_3_PHASE,22000
88.connectors.0,88,IEC_62196_T2_COMBO,DC,50000
89.connectors.0,89,CHADEMO,DC,50000
90.connectors.0,90,IEC_62196_T2,AC_3_PHASE,22000
91.connectors.0,91,IEC_62196_T2_COMBO,DC,50000
92.connectors.0,92,CHADEMO,DC,50000
93.connectors.0,93,IEC_62196_T2,AC_3_PHASE,22000
94.connectors.0,94,IEC_62196_T2_COMBO,DC,50000
95.connectors.0,95,CHADEMO,DC,50000
96.connectors.0,96,IEC_62196_T2,AC_3_PHASE,22000
97.connectors.0,97,IEC_62196_T2_COMBO,DC,50000
98.connectors.0,98,CHADEMO,DC,50000
99.connectors.0,99,IEC_62196_T2,AC_3_PHASE,22000
100.connectors.0,100,IEC_62196_T2_COMBO,DC,50000
101.connectors.0,101,CHADEMO,DC,50000
102.connectors.0,102,IEC_62196_T2,AC_3_PHASE,22000
103.connectors.0,103,IEC_62196_T2_COMBO,DC,50000
104.connectors.0,104,CHADEMO,DC,50000
105.connectors.0,105,IEC_62196_T2,AC_3_PHASE,22000
106.connectors.0,106,IEC_62196_T2_COMBO,DC,50000
107.connectors.0,107,CHADEMO,DC,50000
108.connectors.0,108,IEC_62196_T2,AC_3_PHASE,22000
109.connectors.0,109,IEC_62196_T2_COMBO,DC,50000
110.connectors.0,110,CHADEMO,DC,50000
111.connectors.0,111,IEC_62196_T2,AC_3_PHASE,22000
112.connectors.0,112,IEC_62196_T2_COMBO,DC,50000
113.connectors.0,113,CHADEMO,DC,50000
114.connectors.0,114,IEC_62196_T2,AC_3_PHASE,22000
115.connectors.0,115,IEC_62196_T2_COMBO,DC,50000
116.connectors.0,116,CHADEMO,DC,50000
117.connectors.0,117,IEC_62196_T2,AC_3_PHASE,22000
118.connectors.0,118,IEC_62196_T2_COMBO,DC,50000
119.connectors.0,119,CHADEMO,DC,50000
120.connectors.0,120,IEC_62196_T2,AC_3_PHASE,22000
121.connectors.0,121,IEC_62196_T2_COMBO,DC,50000
122.connectors.0,122,CHADEMO,DC,50000
123.connectors.0,123,IEC_62196_T2,AC_3_PHASE,22000
124.connectors.0,124,IEC_62196_T2_COMBO,DC,50000
125.connectors.0,125,CHADEMO,DC,50000
126.connectors.0,126,IEC_62196_T2,AC_3_PHASE,22000
127.connectors.0,127,IEC_62196_T2_COMBO,DC,50000
128.connectors.0,128,CHADEMO,DC,50000
129.connectors.0,129,IEC_62196_T2,AC_3_PHASE,22000
130.connectors.0,130,IEC_62196_T2_COMBO,DC,50000
131.connectors.0,131,CHADEMO,DC,50000
132.connectors.0,132,IEC_62196_T2,AC_3_PHASE,22000
133.connectors.0,133,IEC_62196_T2_COMBO,DC,50000
134.connectors.0,134,CHADEMO,DC,50000
135.connectors.0,135,IEC_62196_T2,AC_3_PHASE,22000
136.connectors.0,136,IEC_62196_T2_COMBO,DC,50000
137.connectors.0,137,CHADEMO,DC,50000
138.connectors.0,138,IEC_62196_T2,AC_3_PHASE,22000
139.connectors.0,139,IEC_62196_T2_COMBO,DC,50000
140.connectors.0,140,CHADEMO,DC,50000
141.connectors.0,141,IEC_62196_T2,AC_3_PHASE,22000
142.connectors.0,142,IEC_62196_T2_COMBO,DC,50000
143.connectors.0,143,CHADEMO,DC,50000
144.connectors.0,144,IEC_62196_T2,AC_3_PHASE,22000
145.connectors.0,145,IEC_62196_T2_COMBO,DC,50000
146.connectors.0,146,CHADEMO,DC,50000
147.connectors.0,147,IEC_62196_T2,AC_3_PHASE,22000
148.connectors.0,148,IEC_62196_T2_COMBO,DC,50000
149.connectors.0,149,CHADEMO,DC,50000
150.connectors.0,150,IEC_62196_T2,AC_3_PHASE,22000
151.connectors.0,151,IEC_62196_T2_COMBO,DC,50000
152.connectors.0,152,CHADEMO,DC,50000
153.connectors.0,153,IEC_62196_T2,AC_3_PHASE,22000
154.connectors.0,154,IEC_62196_T2_COMBO,DC,50000
155.connectors.0,155,CHADEMO,DC,50000
156.connectors.0,156,IEC_62196_T2,AC_3_PHASE,22000
157.connectors.0,157,IEC_62196_T2_COMBO,DC,50000
158.connectors.0,158,CHADEMO,DC,50000
159.connectors.0,159,IEC_62196_T2,AC_3_PHASE,22000
160.connectors.0,160,IEC_62196_T2_COMBO,DC,50000
161.connectors.0,161,CHADEMO,DC,50000
162.connectors.0,162,IEC_62196_T2,AC_3_PHASE,22000
163.connectors.0,163,IEC_62196_T2_COMBO,DC,50000
164.connectors.0,164,CHADEMO,DC,50000
165.connectors.0,165,IEC_62196_T2,AC_3_PHASE,22000
166.connectors.0,166,IEC_62196_T2_COMBO,DC,50000
167.connectors.0,167,CHADEMO,DC,50000
168.connectors.0,168,IEC_62196_T2,AC_3_PHASE,22000
169.connectors.0,169,IEC_62196_T2_COMBO,DC,50000
170.connectors.0,170,CHADEMO,DC,50000
171.connectors.0,171,IEC_62196_T2,AC_3_PHASE,22000
172.connectors.0,172,IEC_62196_T2_COMBO,DC,50000
173.connectors.0,173,CHADEMO,DC,50000
174.connectors.0,174,IEC_62196_T2,AC_3_PHASE,22000
175.connectors.0,175,IEC_62196_T2_COMBO,DC,50000
176.connectors.0,176,CHADEMO,DC,50000
177.connectors.0,177,IEC_62196_T2,AC_3_PHASE,22000
178.connectors.0,178,IEC_62196_T2_COMBO,DC,50000
179.connectors.0,179,CHADEMO,DC,50000
180.connectors.0,180,IEC_62196_T2,AC_3_PHASE,22000
181.connectors.0,181,IEC_62196_T2_COMBO,DC,50000
182.connectors.0,182,CHADEMO,DC,50000
183.connectors.0,183,IEC_62196_T2,AC_3_PHASE,22000
184.connectors.0,184,IEC_62196_T2_COMBO,DC,50000
185.connectors.0,185,CHADEMO,DC,50000
186.connectors.0,186,IEC_62196_T2,AC_3_PHASE,22000
187.connectors.0,187,IEC_62196_T2_COMBO,DC,50000
188.connectors.0,188,CHADEMO,DC,50000
189.connectors.0,189,IEC_62196_T2,AC_3_PHASE,22000
190.connectors.0,190,IEC_62196_T2_COMBO,DC,50000
191.connectors.0,191,CHADEMO,DC,50000
192.connectors.0,192,IEC_62196_T2,AC_3_PHASE,22000
193.connectors.0,193,IEC_62196_T2_COMBO,DC,50000
194.connectors.0,194,CHADEMO,DC,50000
195.connectors.0,195,IEC_62196_T2,AC_3_PHASE,22000
196.connectors.0,196,IEC_62196_T2_COMBO,DC,50000
197.connectors.0,197,CHADEMO,DC,50000
198.connectors.0,198,IEC_62196_T2,AC_3_PHASE,22000
199.connectors.0,199,IEC_62196_T2_COMBO,DC,50000
200.connectors.0,200,CHADEMO,DC,50000
201.connectors.0,201,IEC_62196_T2,AC_3_PHASE,22000
202.connectors.0,202,IEC_62196_T2_COMBO,DC,50000
203.connectors.0,203,CHADEMO,DC,50000
204.connectors.0,204,IEC_62196_T2,AC_3_PHASE,22000
205.connectors.0,205,IEC_62196_T2_COMBO,DC,50000
206.connectors.0,206,CHADEMO,DC,50000
207.connectors.0,207,IEC_62196_T2,AC_3_PHASE,22000
208.connectors.0,208,IEC_62196_T2_COMBO,DC,50000
209.connectors.0,209,CHADEMO,DC,50000
210.connectors.0,210,IEC_62196_T2,AC_3_PHASE,22000
211.connectors.0,211,IEC_62196_T2_COMBO,DC,50000
212.connectors.0,212,CHADEMO,DC,50000
213.connectors.0,213,IEC_62196_T2,AC_3_PHASE,22000
214.connectors.0,214,IEC_62196_T2_COMBO,DC,50000
215.connectors.0,215,CHADEMO,DC,50000
216.connectors.0,216,IEC_62196_T2,AC_3_PHASE,22000
217.connectors.0,217,IEC_62196_T2_COMBO,DC,50000
218.connectors.0,218,CHADEMO,DC,50000
219.connectors.0,219,IEC_62196_T2,AC_3_PHASE,22000
220.connectors.0,220,IEC_62196_T2_COMBO,DC,50000
221.connectors.0,221,CHADEMO,DC,50000
222.connectors.0,222,IEC_62196_T2,AC_3_PHASE,22000
223.connectors.0,223,IEC_62196_T2_COMBO,DC,50000
224.connectors.0,224,CHADEMO,DC,50000
225.connectors.0,225,IEC_62196_T2,AC_3_PHASE,22000
226.connectors.0,226,IEC_62196_T2_COMBO,DC,50000
227.connectors.0,227,CHADEMO,DC,50000
228.connectors.0,228,IEC_62196_T2,AC_3_PHASE,22000
229.connectors.0,229,IEC_62196_T2_COMBO,DC,50000
230.connectors.0,230,CHADEMO,DC,50000
231.connectors.0,231,IEC_62196_T2,AC_3_PHASE,22000
232.connectors.0,232,IEC_62196_T2_COMBO,DC,50000
233.connectors.0,233,CHADEMO,DC,50000
234.connectors.0,234,IEC_62196_T2,AC_3_PHASE,22000
235.connectors.0,235,IEC_62196_T2_COMBO,DC,50000
236.connectors.0,236,CHADEMO,DC,50000
237.connectors.0,237,IEC_62196_T2,AC_3_PHASE,22000
238.connectors.0,238,IEC_62196_T2_COMBO,DC,50000
239.connectors.0,239,CHADEMO,DC,50000
240.connectors.0,240,IEC_62196_T2,AC_3_PHASE,22000
241.connectors.0,241,IEC_62196_T2_COMBO,DC,100000
242.connectors.0,242,IEC_62196_T2_COMBO,DC,100000
243.connectors.0,243,IEC_62196_T2_COMBO,DC,100000
244.connectors.0,244,IEC_62196_T2_COMBO,DC,100000
245.connectors.0,245,IEC_62196_T2_COMBO,DC,100000
246.connectors.0,246,IEC_62196_T2_COMBO,DC,100000
247.connectors.0,247,IEC_62196_T2_COMBO,DC,100000
248.connectors.0,248,IEC_62196_T2_COMBO,DC,100000
249.connectors.0,249,IEC_62196_T2_COMBO,DC,100000
250.connectors.0,250,IEC_62196_T2_COMBO,DC,100000
251.connectors.0,251,IEC_62196_T2_COMBO,DC,100000
252.connectors.0,252,IEC_62196_T2_COMBO,DC,100000
253.connectors.0,253,IEC_62196_T2_COMBO,DC,50000
254.connectors.0,254,CHADEMO,DC,50000
255.connectors.0,255,IEC_62196_T2,AC_3_PHASE,22000
256.connectors.0,256,IEC_62196_T2_COMBO,DC,50000
257.connectors.0,257,CHADEMO,DC,50000
258.connectors.0,258,IEC_62196_T2,AC_3_PHASE,22000
259.connectors.0,259,IEC_62196_T2_COMBO,DC,50000
260.connectors.0,260,CHADEMO,DC,50000
261.connectors.0,261,IEC_62196_T2,AC_3_PHASE,22000
262.connectors.0,262,IEC_62196_T2_COMBO,DC,50000
263.connectors.0,263,CHADEMO,DC,50000
264.connectors.0,264,IEC_62196_T2,AC_3_PHASE,22000
265.connectors.0,265,IEC_62196_T2_COMBO,DC,50000
266.connectors.0,266,CHADEMO,DC,50000
267.connectors.0,267,IEC_62196_T2,AC_3_PHASE,22000
268.connectors.0,268,IEC_62196_T2_COMBO,DC,50000
269.connectors.0,269,CHADEMO,DC,50000
270.connectors.0,270,IEC_62196_T2,AC_3_PHASE,22000
271.connectors.0,271,IEC_62196_T2_COMBO,DC,50000
272.connectors.0,272,CHADEMO,DC,50000
273.connectors.0,273,IEC_62196_T2,AC_3_PHASE,22000
274.connectors.0,274,IEC_62196_T2_COMBO,DC,50000
275.connectors.0,275,CHADEMO,DC,50000
276.connectors.0,276,IEC_62196_T2,AC_3_PHASE,22000
277.connectors.0,277,IEC_62196_T2_COMBO,DC,50000
278.connectors.0,278,CHADEMO,DC,50000
279.connectors.0,279,IEC_62196_T2,AC_3_PHASE,22000
280.connectors.0,280,IEC_62196_T2_COMBO,DC,50000
281.connectors.0,281,CHADEMO,DC,50000
282.connectors.0,282,IEC_62196_T2,AC_3_PHASE,22000
283.connectors.0,283,IEC_62196_T2_COMBO,DC,50000
284.connectors.0,284,CHADEMO,DC,50000
285.connectors.0,285,IEC_62196_T2,AC_3_PHASE,22000
286.connectors.0,286,IEC_62196_T2_COMBO,DC,50000
287.connectors.0,287,CHADEMO,DC,50000
288.connectors.0,288,IEC_62196_T2,AC_3_PHASE,22000
289.connectors.0,289,IEC_62196_T2_COMBO,DC,50000
290.connectors.0,290,CHADEMO,DC,50000
291.connectors.0,291,IEC_62196_T2,AC_3_PHASE,22000
292.connectors.0,292,IEC_62196_T2_COMBO,DC,50000
293.connectors.0,293,CHADEMO,DC,50000
294.connectors.0,294,IEC_62196_T2,AC_3_PHASE,22000
295.connectors.0,295,IEC_62196_T2_COMBO,DC,50000
296.connectors.0,296,CHADEMO,DC,50000
297.connectors.0,297,IEC_62196_T2,AC_3_PHASE,22000
298.connectors.0,298,IEC_62196_T2_COMBO,DC,50000
299.connectors.0,299,CHADEMO,DC,50000
300.connectors.0,300,IEC_62196_T2,AC_3_PHASE,22000
301.connectors.0,301,IEC_62196_T2_COMBO,DC,50000
302.connectors.0,302,CHADEMO,DC,50000
303.connectors.0,303,IEC_62196_T2,AC_3_PHASE,22000
304.connectors.0,304,IEC_62196_T2_COMBO,DC,50000
305.connectors.0,305,CHADEMO,DC,50000
306.connectors.0,306,IEC_62196_T2,AC_3_PHASE,22000
307.connectors.0,307,IEC_62196_T2_COMBO,DC,50000
308.connectors.0,308,CHADEMO,DC,50000
309.connectors.0,309,IEC_62196_T2,AC_3_PHASE,22000
310.connectors.0,310,IEC_62196_T2_COMBO,DC,50000
311.connectors.0,311,CHADEMO,DC,50000
312.connectors.0,312,IEC_62196_T2,AC_3_PHASE,22000
313.connectors.0,313,IEC_62196_T2_COMBO,DC,50000
314.connectors.0,314,CHADEMO,DC,50000
315.connectors.0,315,IEC_62196_T2,AC_3_PHASE,22000
316.connectors.0,316,IEC_62196_T2_COMBO,DC,50000
317.connectors.0,317,CHADEMO,DC,50000
318.connectors.0,318,IEC_62196_T2,AC_3_PHASE,22000
319.connectors.0,319,IEC_62196_T2_COMBO,DC,50000
320.connectors.0,320,CHADEMO,DC,50000
321.connectors.0,321,IEC_62196_T2,AC_3_PHASE,22000
322.connectors.0,322,IEC_62196_T2_COMBO,DC,50000
323.connectors.0,323,CHADEMO,DC,50000
324.connectors.0,324,IEC_62196_T2,AC_3_PHASE,22000
325.connectors.0,325,IEC_62196_T2_COMBO,DC,50000
326.connectors.0,326,CHADEMO,DC,50000
327.connectors.0,327,IEC_62196_T2,AC_3_PHASE,22000
328.connectors.0,328,IEC_62196_T2_COMBO,DC,50000
329.connectors.0,329,CHADEMO,DC,50000
330.connectors.0,330,IEC_62196_T2,AC_3_PHASE,22000
331.connectors.0,331,IEC_62196_T2_COMBO,DC,50000
332.connectors.0,332,CHADEMO,DC,50000
333.connectors.0,333,IEC_62196_T2,AC_3_PHASE,22000
334.connectors.0,334,IEC_62196_T2_COMBO,DC,50000
335.connectors.0,335,CHADEMO,DC,50000
336.connectors.0,336,IEC_62196_T2,AC_3_PHASE,22000
337.connectors.0,337,IEC_62196_T2_COMBO,DC,50000
338.connectors.0,338,CHADEMO,DC,50000
339.connectors.0,339,IEC_62196_T2,AC_3_PHASE,22000
340.connectors.0,340,IEC_62196_T2_COMBO,DC,50000
341.connectors.0,341,CHADEMO,DC,50000
342.connectors.0,342,IEC_62196_T2,AC_3_PHASE,22000
343.connectors.0,343,IEC_62196_T2_COMBO,DC,50000
344.connectors.0,344,CHADEMO,DC,50000
345.connectors.0,345,IEC_62196_T2,AC_3_PHASE,22000
346.connectors.0,346,IEC_62196_T2_COMBO,DC,50000
347.connectors.0,347,CHADEMO,DC,50000
348.connectors.0,348,IEC_62196_T2,AC_3_PHASE,22000
349.connectors.0,349,IEC_62196_T2_COMBO,DC,50000
350.connectors.0,350,CHADEMO,DC,50000
351.connectors.0,351,IEC_62196_T2,AC_3_PHASE,22000
352.connectors.0,352,IEC_62196_T2_COMBO,DC,50000
353.connectors.0,353,CHADEMO,DC,50000
354.connectors.0,354,IEC_62196_T2,AC_3_PHASE,22000
355.connectors.0,355,IEC_62196_T2_COMBO,DC,50000
356.connectors.0,356,CHADEMO,DC,50000
357.connectors.0,357,IEC_62196_T2,AC_3_PHASE,22000
358.connectors.0,358,IEC_62196_T2_COMBO,DC,50000
359.connectors.0,359,CHADEMO,DC,50000
360.connectors.0,360,IEC_62196_T2,AC_3_PHASE,22000
361.connectors.0,361,IEC_62196_T2_COMBO,DC,50000
362.connectors.0,362,CHADEMO,DC,50000
363.connectors.0,363,IEC_62196_T2,AC_3_PHASE,22000
364.connectors.0,364,IEC_62196_T2_COMBO,DC,50000
365.connectors.0,365,CHADEMO,DC,50000
